Method,GUID,Leaky,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
uuid/v1,Y,Y,N,Y,,uuid,1031295.5656748784,6.34443922996987e-8,9.696541256294468e-7,1.2894598942797643e-8,1.3298142710863186,93,6.578877011631451e-9,4.025190914278067e-15
uuid/v1,Y,Y,N,Y,,hex,383578.6301650191,2.75348557475048e-7,0.0000026070274028816222,5.8884261665894283e-8,2.2586744428082275,84,3.004299064586443e-8,7.581682810358982e-14
uuid/v1,Y,Y,Y,Y,,hex,539425.3843995036,1.0684668034343889e-7,0.0000018538245120095987,2.1833491486840616e-8,1.1777539538072288,92,1.1139536472877865e-8,1.1416213100413009e-14
uuid/v1,Y,Y,N,Y,,buffer,459583.9291737472,2.5011163447179725e-7,0.000002175881131870359,5.4468755951635846e-8,2.503296487745873,81,2.7790181607977473e-8,6.255582969815393e-14
uuid/v1,Y,Y,Y,Y,,buffer,663802.1369151575,8.148849220474218e-8,0.0000015064730051144938,1.674293754613044e-8,1.111399772135841,91,8.542315074556347e-9,6.6403743618023266e-15
uuid/v4,Y,N,N,Y,,uuid,245452.48879152976,3.8986457063337797e-7,0.000004074108211016472,8.337391559974923e-8,2.0464335084253396,84,4.2537712040688387e-8,1.5199438343514816e-13
uuid/v4,Y,N,N,Y,,hex,231759.24733778028,7.289980891838509e-7,0.000004314822435294407,1.568351541546008e-7,3.6347997282975024,83,8.001793579316367e-8,5.314382140337058e-13
uuid/v4,Y,N,Y,Y,,hex,264598.271438323,5.588822568073226e-7,0.000003779314182833189,1.1611314544823068e-7,3.072333757686842,89,5.9241400738893206e-8,3.123493769740461e-13
uuid/v4,Y,N,N,Y,,buffer,247126.93745966812,7.962588778965704e-7,0.000004046503429692698,1.73407488964142e-7,4.285366168027961,81,8.847320865517449e-8,6.340282006291054e-13
uuid/v4,Y,N,Y,Y,,buffer,296526.40076057805,5.543933800518026e-7,0.0000033723810002584626,1.1649693002898766e-7,3.4544415361152616,87,5.94372091984631e-8,3.0735201984526246e-13
fast-uuid,Y,Y,N,Y,,uuid,695418.2306224571,4.4100223636241797e-8,0.000001437983584504129,9.061000763847892e-9,0.6301185118863833,91,4.622959573391782e-9,1.94482972476654e-15
